Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Figure Drawing: Tonal Rendering,"How can you make a good figure drawing into a great figure drawing? Give it drama with tonal rendering. This course—taught on the iPad Pro—provides you with step-by-step demonstrations that can help you enhance the dimensionality and drama of your figure drawings using tonal rendering techniques. Instructor Amy Wynne starts by demonstrating how to create a five-part tonal gradient, and then shows how to apply this to simple 3D geometric shapes such as an egg, a cylinder, and a block; these shapes serve as the building blocks for constructing your figures. Amy also shows how to build the figure from the inside out—from structure to tonality—and apply silhouette and camouflage using inspiring master drawings as examples. Upon completing this course, you'll be equipped with a few simple techniques that can help you add beautiful lights and shadows to your figure sketches.",Course,2020-03-31 04:40 UTC,N/A,false,N/A,
Excel: Macros and VBA for Beginners (2021),"If you’re a frequent user of Excel, chances are you have Excel tasks that you need to repeat often. Fortunately, you can automate these tasks by creating macros. Many people assume macros are complicated and reserved only for Excel power users. Not so! In this short course, Excel MVP Oz du Soleil first explains the best times to use a macro, and then how to use Visual Basic for Applications (VBA) to set up a basic macro in Excel to record your mouse clicks and keystrokes. Learn how to set up macros in Excel now, saving time later.",Course,2021-02-07 10:17 UTC,N/A,true,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:188429,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:188429,Course,2016-06-07 15:58 UTC,N/A,false,N/A,
Programming Foundations: Databases (2015),"Discover how a database can benefit both you and your architecture, whatever the programming language, operating system, or application type you use. In this course, explore options that range from personal desktop databases to large-scale geographically distributed database servers and classic relational databases to modern document-oriented systems and data warehouses—and learn how to choose the best solution for you. Author Simon Allardice covers key terminology and concepts, such as normalization, ""deadly embraces"" and ""dirty reads,"" ACID and CRUD, referential integrity, deadlocks, and rollbacks. The course also explores data modeling step by step through hands-on examples to design the best system for your data. Plus, learn to juggle the competing demands of storage, access, performance, and security—management tasks that are critical to your database's success.",Course,2016-10-06 15:04 UTC,N/A,false,N/A,
Git Essential Training (2012),"The course shows how to use Git, the popular open-source version control software, to manage changes to source code and text files. Using a step-by-step approach, author Kevin Skoglund presents the commands that enable efficient code management and reveals the fundamental concepts behind version control systems and the Git architecture. Discover how to track changes to files in a repository, review previous edits, and compare versions of a file; create branches to test new ideas without altering the main project; and merge those changes into the project if they work out. The course begins by demonstrating version control in a single-user, standalone context, before exploring how remote repositories allow users to collaborate on projects effectively.",Course,2016-06-05 14:44 UTC,N/A,false,N/A,
InDesign Secrets,"In this series, David Blatner and Anne-Marie Concepción, cohosts of the web's top resource for InDesign tips and tricks, InDesignSecrets.com, share some hidden and sometimes surprising workflow tips that will make working in InDesign more efficient and more fun. The course covers built-in timesaving features such as Quick Apply and auto-expanding text, but also little-known tricks, such as using the eyedropper to copy and paste character and paragraph text attributes and making accurate selections by selecting through or even into objects.<br><br>Find more tips and tricks at <a href=""http://www.indesignsecrets.com"" target=""_blank"">indesignsecrets.com</a>.",Course,2018-04-20 04:27 UTC,N/A,false,N/A,
Photoshop CC 2017 One-on-One: Fundamentals,"Photographers and graphics designers—including professionals, hobbyists, enthusiasts, and students—use Photoshop to edit and refine their work. In this course, Deke McClelland takes you on a personalized tour of the basic tools and techniques you can use to make great images and graphics. Deke shows you how to open images from multiple sources, crop and straighten images, navigate panels and menus, and customize preferences. He guides you through how to edit images by adjusting brightness and contrast, correcting color, and retouching portraits. He demonstrates how to use layers to mask parts of an image and make composite artwork. He also covers formatting text, printing, preparing web graphics, and more.",Course,2017-08-02 02:42 UTC,N/A,false,N/A,
The 45-Minute Business Plan,"If you want to succeed as an entrepreneur, you can’t just dive right in. You need a plan! In this course, learn how to create a simple and effective business plan you can take to investors, share with cofounders, or just start executing. Discover how to design every part of your business step by step, including how to calculate the startup costs of your new business, plan and predict the cash flow, and determine your business’s mission and goals. Upon wrapping up this course, you'll have the knowledge you need to build a bulletproof business plan in less than an hour.<br><br>This course was created by <a href=""https://wealthfit.com/"" target=""_blank"">WealthFit</a>. We are pleased to host this content in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAEPj6Xm_DjBnTJKozVeAw1TZaQ.jpg"" height=""25%"" width=""25%"">",Course,2021-02-11 20:45 UTC,N/A,false,N/A,
Project Management Foundations [2016],"Project management is a start-to-finish approach to getting things done and making projects more successful. It's a profession, but it's also a set of techniques that anyone can apply to achieve goals and manage project work more effectively. Project management can be used to guide small, simple projects as well as complex enterprise-wide initiatives.<br><br>Bonnie Biafore has always been fascinated by how things work and how to make things work better. In this course, she explains the fundamentals of project management, from defining the problem, establishing project goals and objectives, and building a project plan to managing team resources, meeting deadlines, and closing the project. Along the way, she provides tips for reporting on project performance, keeping a project on track, and gaining customer acceptance.",Course,2017-03-01 15:33 UTC,N/A,false,N/A,
InDesign 2021 Essential Training,"InDesign is an essential tool for design firms, ad agencies, magazines, newspapers, book publishers, and freelance designers around the world. In this course, instructor David Blatner presents a thorough explanation of the core features and techniques that make this powerful page-layout application fun and easy to use, providing a foundation upon which advanced skills and workflows can be built. David gets you up to speed fast, with a quick start chapter that teaches you the basics in less than 20 minutes. Then he dives into the details, including managing documents and pages, editing text and graphics, creating interactive documents, and much more. Take the entire course, or focus on just the features you need to learn. Every lesson brings you one step closer to InDesign proficiency—an essential skill for any career in design or publishing.",Course,2021-02-27 10:23 UTC,N/A,false,N/A,
Apple Watch Tips and Tricks (2019),"Apple Watch has evolved. The latest watchOS makes it even more convenient to manage messages, activities, and notification directly from your device. But even if you wear one daily, you might not be using all of its most helpful features. Get the most out of your Apple Watch with these practical tips and tricks. Garrick Chow explores the features and capabilities of the latest Apple watchOS, including messaging, app management, voice control with Siri, staying fit and safe, and other valuable pointers. He also shows how to customize your unlock settings and haptic strength, so the Apple Watch responds perfectly to your touch.",Course,2020-11-13 09:05 UTC,N/A,false,N/A,
Migrating from AutoCAD to Revit,"This course shows AutoCAD drafters and designers how to migrate their CAD workflow to Autodesk Revit software. Author Paul F. Aubin details how to transfer your files and explains key distinctions between the packages. Along the way, learn how to customize the Revit settings for optimal control, get a basic handle on the modeling tools, and adjust yourself to the differences in visibility, plot style, object creation, and the user interface.",Course,2018-10-01 16:57 UTC,N/A,false,N/A,
Addiction: A Community Issue,"Addiction is a public health issue that impacts us both at work and at home. But while this problem is widespread, the stigma surrounding addiction can make seeking help a challenge. This brief course was designed to help demystify addiction and provide employees with strategies, tools, and resources for helping themselves and others in their community.<br/><br/>Dr. Srini Pillay, a Harvard-trained psychologist, details the difference between recreational behavior and addiction to help you determine whether you or someone you know should seek help. Dr. Pillay shares how to address addiction in yourself or an employee, as well as how to appraise what level of care you or others need and when to approach specific care providers. He explains how addiction can also be present in our relationships with work, technology, food, shopping, and other seemingly benign areas of life. Plus, he helps you evaluate the merits of mobile apps and other new approaches for managing addiction.",Course,2020-11-18 22:20 UTC,N/A,false,N/A,
Empathy for Sales Professionals,"Empathy is a key skill for creating deeper connections and relationships—the building blocks of sales. With empathy, salespeople can achieve a deeper understanding of what prospects are going through and connect better with existing customers. In this course, workforce innovation specialist Sophie Wade quantifies the effect of empathy on sales and shows sales leaders how to incorporate empathy into the management and training of sales teams. Learn how to use empathy to distribute responsibility and improve team performance, and help your reps deepen customer relationships and increase sales. Sophie also shows how to improve empathy on a division-wide level by creating conditions that help an open-minded, empathetic organization thrive.",Course,2020-11-23 08:03 UTC,N/A,false,N/A,
Yammer Essential Training,"The new Yammer is an enterprise social network designed to help businesses get work done smarter and faster. In this course, Gini von Courter takes you through all of the essential features of Yammer. Learn how the new Yammer works and find out how to join or create a Yammer network at your organization. Discover how to communicate with colleagues using posts, messages, and chat; collaborate on files; and create and administer Yammer communities. Plus, find out how to get and give feedback with polls and praise.",Course,2020-11-15 15:39 UTC,N/A,false,N/A,
Photoshop CC 2015 Essential Training,"Whether you're an experienced creative professional or someone who recently purchased a camera, learning how to use Photoshop efficiently and effectively is the best investment you can make to get the most out of your images.<br><br>

Julieanne Kost filters out the noise and complexity often associated with Photoshop, so you'll feel empowered to get the image results you want. She concentrates on enhancing and compositing photos, as well as automating parts of the process for the most efficient workflow possible. She'll cover cropping, retouching, and combining multiple images, and working with non-image-based assets such as type, shapes, and even video. Along the way, you'll learn the secrets of nondestructive editing with Camera Raw, layers, masks, blending modes, Smart Objects, filters, and more. Start watching to quickly get the professional results you're looking for with Photoshop.",Course,2017-02-15 04:08 UTC,N/A,false,N/A,
SOLIDWORKS: Design for Mechatronics,"SOLIDWORKS is the leading software for mechanical design and engineering. However, it also offers a powerful toolset for generating mechatronic designs, or designs that combine mechanical and electrical components. In this course, Justin Flett teaches the basics of mechatronic design in SOLIDWORKS, walking through a complete, simplified project for a robotic arm. As the project progresses, he examines advanced tools for plastics and casing design, including drafts, shells, ribs, and mounting bosses, which are common elements in mechatronic enclosures and housing. Then Justin shows how to complete assemblies, including integrating imported motors and printed circuit board (PCB) components. Plus, learn how to route cables and wires in your project and generate final output, such as drawing, STEP, and PDF files.",Course,2019-05-18 20:10 UTC,N/A,false,N/A,
SOLIDWORKS: Modeling a Bicycle,"Cycling is more popular than ever, and many people are opting to build their own frames. Whether you love bikes and you want to build your own frame, or if you just want to practice your own SOLIDWORKS skills in a fun and practical way, join design engineer and avid cyclist Johno Ellison as he shows how to create a rigid bike frame based on real-life frame geometry. He shows how to create the frame, identify off-the-shelf parts such as handlebars, combine them into an assembly, and prepare drawings for the final product. Throughout the course, Johno shows some of the more practical aspects of bike building, as well as how they relate to SOLIDWORKS and CAD in general, giving you a great way to apply your modeling skills.",Course,2022-05-11 13:44 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:374756,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:374756,Course,2016-12-30 02:36 UTC,N/A,false,N/A,
Effective Listening,"<p>Listening is a critical competency, whether you are interviewing for your first job or leading a Fortune 500 company. Surprisingly, relatively few working professionals have ever had any formal training in how to listen effectively. In this course, communications experts Tatiana Kolovou and Brenda Bailey-Hughes show how to assess your current listening skills, understand the challenges to effective listening (such as distractions!), and develop behaviors that will allow you to become a better listener—and a better colleague, mentor, and friend. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/essential-business-communication-skills-professional-certificate-by-linkedin-learning"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2021-01-02 14:29 UTC,N/A,false,N/A,
Computer and Text Neck Stretching Exercises,"Our necks bear the brunt of the stress when we spend too much time looking at screens. Taking a break is the best solution, but sometimes we can’t afford to go offline. Luckily, with simple corrections to your posture and typing habits, you can eliminate injury to this sensitive area. Join Dr. Baxter Bell for this series of exercises that can help relieve and prevent neck pain. Discover the proper way to stretch your back and neck, lengthen your neck muscles and upper spin, deepen your breath, and get the blood flowing through your body. Plus, learn a simple exercise that will benefit your neck and your wrists.<br><br>

Note: This course was created and produced by <a href=”https://www.desk-yogi.com” target=”_blank”>Desk Yogi</a>.",Course,2020-10-21 23:58 UTC,N/A,false,N/A,
SOLIDWORKS: Designing for Consumer Electronics,"Consumer electronics are all around us, and new products are created every year. In this course, instructor Johno Ellison teaches the basics of designing these items in SOLIDWORKS. Through this project-based course, he shows you how to design a game controller using SOLIDWORKS features like lofts, fillets, mirroring, and shell. Course projects include creating an assembly, adding fastening details, and even creating the buttons, joystick, and printed circuit board that go into the controller. Johno concludes with a discussion of development and potential next stages in the design process.",Course,2021-05-27 17:32 UTC,N/A,false,N/A,
Career Wellness Nano Tips with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.<br><br>In this course, get some quick tips on how to better manage your work life and career. Check out some practical advice on workload prioritization, emotional self-regulation, and managing overwhelming work experiences. Also learn how to bring empathy to work, receive feedback with confidence, and even find out the real reason behind procrastination.",Course,2022-05-28 06:31 UTC,N/A,false,N/A,
Learning Premiere Pro CC 2015,"Get on the fast track to video editing with Premiere Pro. Staff author Ashley Kennedy provides an overview of the interface and a start-to-finish guide of the editing workflow in Premiere Pro CC, which touches on all its major functions—from media ingest to output. She'll show how to select shots, create and refine the edit, add effects, adjust audio, and export your work. This project-based approach provides context to a complex set of tools, allowing the viewers to hit the ground running and make their first edit.  This course serves as a companion ""quick start"" option to the in-depth <em>Premiere Pro CC Essential Training</em>—so once you've taken this minicourse, you can choose to continue on with eight additional hours of training.",Course,2017-02-09 06:34 UTC,N/A,false,N/A,
Advanced Google Analytics,"Unlock the advanced capabilities of Google Analytics and take your skills to the next level. This course takes an in-depth look at Google Analytics, teaching advanced techniques that can help you use this popular and powerful analytics tool to glean better insights. Discover how to create and manage filters, create custom channel groupings, and interact with segments. Plus, find out how to create custom calculated metrics; debug your analytics setup; and more.<br><br>

This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""25%"" width=""25%"">",Course,2021-07-29 13:49 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:424709,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:424709,Course,2017-07-01 05:13 UTC,N/A,false,N/A,
Deep Learning: Getting Started,"Deep learning as a technology has grown leaps and bounds in the last few years. More and more AI solutions use deep learning as their foundational technology. Studying this technology, however, has several challenges. Most learning resources are math-heavy and are difficult to navigate without good math skills. IT professionals need a simplified resource to learn the concepts and build models quickly. This course aims to provide a simplified path to studying the basics of deep learning and becoming productive quickly.
Instructor Kumaran Ponnambalam starts off with an intro to deep learning, including artificial neural networks and architectures. He navigates through various building blocks of neural networks with simple and easy to understand explanations. Kumaran also builds code in Keras to implement these building blocks. He then pulls it all together with an end-to-end exercise. Finally, test what you learned with a deep learning problem and compare your solution with Kumaran’s.",Course,2022-07-14 12:29 UTC,N/A,false,N/A,
Technical Sales: The Role of the Sales Engineer,"Salespeople sell the product. Developers build the product. Sales engineers bridge the gap. Sales engineering, also known as technical sales, is an in-demand and well-paid role. But many people don't know the job even exists. This course introduces the role and responsibilities of the sales engineer, along with the main concepts of technical sales. It is designed for salespeople who want to enter Silicon Valley and the engineers who want a more customer-oriented role. Instructor John Care shows how to uncover business problems, link those problems to your solution, and present it to the customer for consideration. He also provides tips for making an effective sales pitch. Start watching to learn more about this exciting new sales career.",Course,2020-04-07 19:26 UTC,N/A,false,N/A,
The DIY Photographer,"In the world of photography, even the simplest accessories can cost a few days' salary. The answer? Don't buy it. Build it!<br><br>

That's the idea behind <em>The Do-It-Yourself Photographer</em>. Photographer and educator Joseph Linaschke shows how you can fashion ordinary items—from plastic cups to clamps to parchment paper—into accessories that will improve lighting, stabilize your camera, and much more.<br><br>

So roll up your sleeves and break out the gaffer's tape. Learn how to become a DIY photographer.",Course,2018-10-17 19:55 UTC,N/A,false,N/A,
Introduction to Graphic Design: Illustrator,"Design is complex art that involves many different skills and tools. In this course, instructor Tony Harmer uses the process of creating a poster to teach you the core Adobe Illustrator skills that every designer needs to know. Tony shows you how to set up the document and working space for the poster in Adobe Illustrator. He walks you through importing the sketch, adding the print area, and creating a modular grid that will help you position objects in the layout. Tony covers area type and type hierarchies, then shows you how to rotate and scale area text. He steps through adding images and recoloring artwork. He goes over how you can change the blending mode and opacity of the artwork, create a clip group, and place another Illustrator file into your working document. Tony wraps up by showing how you can check your file for accessibility issues and package your file for easy hand-off.",Course,2022-06-30 13:34 UTC,N/A,false,N/A,
"Outlook 2010: Tips, Tricks, and Shortcuts","In <em>Outlook 2010 Power Shortcuts</em>, author David Diskin shares an assortment of time-saving tips and tricks to maximize efficiency and productivity in Outlook 2010. The course covers tips for organizing and sending email, working with tasks, scheduling appointments, and maintaining contact lists. Also included are tutorials on email etiquette, Outlook customization, and much more. A quick reference guide to shortcut keys accompanies the course.",Course,2017-03-07 14:47 UTC,N/A,false,N/A,
Motion Control 3D: Bringing Photos to Life in Three Dimensions with After Effects and Photoshop CC (2019),"Have you looked at a photo and wished you were there, or wondered what the scene looked like to the photographer? Now you can bring your photos to life by adding motion and depth. Author Rich Harrington reveals how you can transport your photos into a three-dimensional world using Adobe Photoshop and After Effects. The course shows you how to select the right images and resolutions; how to use masks and layers to build a layered composition in Photoshop; and how to animate and light the elements of the scene in After Effects. The techniques is useful for documentary filmmaking, web content, and TV commercials. Rich even shows how to render your project in full 3D for compatible platforms like YouTube, or in a typical broadcast format suitable for television or streaming.",Course,2021-01-29 18:08 UTC,N/A,false,N/A,
Excel Essential Training (Microsoft 365) (2018),"Get up to speed with Microsoft Excel, the world's most popular spreadsheet program. Follow along with Excel expert Dennis Taylor as he demonstrates how to efficiently manage and analyze data with this powerful program. Learn how to enter and organize data, perform calculations with simple functions, and format the appearance of rows, columns, cells, and data. Other lessons cover how to work with multiple worksheets, build charts and PivotTables, sort and filter data, use the printing capabilities of Excel, and more.",Course,2020-08-06 22:13 UTC,N/A,true,N/A,
Learning Bitcoin and Other Cryptocurrencies (2018),"Bitcoin is a form of money that only exists online. While it's making headlines around the world, many people don't really understand how bitcoin works or the underlying concepts of cryptocurrency. In this course, Tom Geller demystifies bitcoin, revealing the promise and perils of the new crypto economy. Tom begins by explaining what bitcoin is, how it originated, and how it compares with other cryptocurrencies. Next, he explains how to get started by creating a bitcoin wallet, buying and selling bitcoin, and protecting your transactions. He discusses other top cryptocurrencies—Ripple, Ethereum, and IOTA—and explains how ""initial coin offerings"" (ICOs) have changed the investment landscape. Finally, he covers bitcoin mining, threats to the bitcoin economy, and how to connect with others in cryptocurrency communities.",Course,2018-06-10 11:47 UTC,N/A,false,N/A,
Creating a Communications Strategy,"A communications strategy is the backbone of any good marketing or communications program. It provides a focus, with a clear goal and roadmap for how to best get your message to your target audience, and ensures that your messages are memorable and move people to action. Learning how to craft a communications strategy can help you to be a masterful communicator. In this course, discover ways to identify your audience, build a communications strategy, measure your results, and adjust to feedback. Find out how to break through the noise and connect with your audience clearly reliably and how to respond with consistency when crisis hits.",Course,2021-07-18 11:33 UTC,N/A,false,N/A,
Excel Data Visualization: Mastering 20+ Charts and Graphs,"When you think data visualization, you might not think Microsoft Excel. But Excel offers a large number of charts and graphing tools that complement its data analysis toolset. This course offers a laser-focused, practical guide to over 20 useful Excel charts and graphs for data visualization. Instructor Chris Dutton reviews the key principles of data visualization, and provides some introductory tips to help you customize any kind of chart in Excel. In this section, you can learn how to adjust text and cell formatting, change the chart type and axes, and leverage built-in templates. In chapter three, Chris reviews the different chart types: from basic bar and pie charts, to scatter plots, histograms, funnel charts, and sparklines. Plus, learn how to create geospatial heat maps and 3D power maps, and combine different chart types on one sheet.",Course,2021-03-08 10:25 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:563067,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:563067,Course,2017-04-27 15:31 UTC,N/A,false,N/A,
Strategic Negotiation,"<p>Learn negotiation skills to help you get what you want while also building better relationships with coworkers, bosses, business partners, and suppliers. In this course, leadership consultant and trainer Mike Figliuolo shares simple yet effective negotiating skills and tools. He covers the four major phases of the negotiating cycle and explains how to assess your situation, gather data, negotiate a deal, and then assess and learn from your experience. He also explains common negotiating pitfalls and what you can do to avoid them. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/cscmp-supply-chain-foundations-procurement-professional-certificate"" target=""_blank"">Professional Certificate</a> from CSCMP.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/negotiation-professional-certificate-by-american-negotiation-institute"" target=""_blank"">Professional Certificate</a> from American Negotiation Institute.</p>",Course,2019-07-30 03:49 UTC,N/A,false,N/A,
Outlook: Efficient Email Management (2019),"Microsoft Outlook includes many powerful and often overlooked features that can make your email workflow easier and more efficient. Join instructor Gini von Courter and discover ways of working with Outlook that can make your email experience less time-consuming and tedious. Learn to create email conversations and set up organizational features including rules, folders, and categories; then discover how to use Quick Steps and Instant Search. From tips about avoiding clutter to in-depth walkthroughs about creating autoreplies, this course is ideal for anyone who wants to be more productive with Outlook.",Course,2020-10-18 23:33 UTC,N/A,false,N/A,
Engineering Drawings for Manufacturing,"Preparing clear, complete engineering drawings is a critical skill for nearly every design engineer. New engineers have traditionally had to learn drafting skills on the job, usually by trial and error. This course teaches the practical skills needed to independently prepare clear drawings that satisfy industry standards. For the learner, this course can increase marketability and reduce frustration during the first months of a new career. For the employer, this course can reduce the time required to train new engineers and decrease the potential for costly mistakes due to poor drawings.<br><br>

Join the engineering team from Tarkka for this hands-on look at creating engineering drawings for manufacturing, from preparing your template and selecting the right drawing type to choosing and placing views, specifying dimensions, and setting tolerances. By the end of this course, you'll have the skills to create clear, complete drawings that hold up to the most exacting standards.<br><br>

This course was created by Tarkka. We are pleased to offer this training in our library.",Course,2023-03-24 13:01 UTC,N/A,false,N/A,
Revit: AR and VR Workflows,"Getting consistent results in virtual reality means keeping best practices in mind all the way through the development process. In this course, learn why virtual reality and augmented reality are good for business; which tools to use when incorporating immersive technology in your architecture, engineering, or construction practice; and how to create files in Revit that translate through to VR with predictable outcomes. As he shares how to effectively incorporate VR and AR into your practice, instructor Logan Smith details best practices for using your Revit model with VR and AR. Learn how to leverage tools such as Enscape and the Argyle app, how to efficiently create and populate materials in a project, and how to leverage 3D shortcuts to work faster and smarter in Revit.",Course,2022-05-22 07:45 UTC,N/A,false,N/A,
Excel Quick Tips (2020),"The most common questions about using Excel now have timely video answers. This set of quick tips provides helpful, condensed steps you can readily apply to keep on task—whether you're running calculations, setting up a new workbook, fixing a sheet you received, or getting tables ready for presentation. Each video is about one minute long, so you can jump in and get some helpful insights in no time.",Course,2022-07-22 08:36 UTC,N/A,false,N/A,
Type Tips,"Take your love of letterforms to the next level with this series that explores all things, big and small, related to type and the practice of typography. These tips are aimed at people using Adobe Creative Cloud: primarily InDesign, Illustrator, and Photoshop. Some tips are specific to particular applications and some are purely conceptual and software agnostic.",Course,2022-05-29 13:28 UTC,N/A,false,N/A,
Excel Data Visualization: Designing Custom Visualizations,"Interested in using more than the built-in chart and graph tools to showcase your data in Excel? In this course—the second and final installment in the <i>Excel Data Visualization</i> series—instructor Chris Dutton steps through how to create unique, custom data visualizations in Excel. Since Chris covered the core data visualization capabilities of Excel in the previous installment of the series, he dives into some more sophisticated techniques here. As he moves through a series of hands-on demos, Chris covers everything from building dynamic dashboards to advanced maneuvers like value-based formatting and dynamic series selection.",Course,2020-12-07 00:30 UTC,N/A,false,N/A,
Cert Prep: AutoCAD Certified Professional,"Become an AutoCAD certified professional. This training course helps you study for the Autodesk certification exam while you reinforce your CAD skills. Shaun Bryant helps you understand the two pathways available: Autodesk Certified User—for new designers who want to demonstrate basic proficiency—and Autodesk Certified Professional—for those who possess more advanced skills and can solve complex workflow and design challenges. He then walks through basic drawing skills, object manipulation techniques, and organization skills necessary to pass both certification exams. Plus, learn how to reuse content to be more efficient, annotate drawings, and set your AutoCAD designs up for printing.<br><br>

Note: The exam objectives are not release specific, but the course has been revised to reflect the most recent version of the software, AutoCAD 2018.",Course,2021-04-03 09:49 UTC,N/A,false,N/A,
Transitioning from Waterfall to Agile Project Management (2015),"If your organization is looking to realize the time, quality, and cost benefits of agile project management, this course is for you. Agile expert Kelley O'Connell helps those interested in experimenting with agile understand the difference between traditional waterfall and agile methodologies and what is required for a successful transition between the two. She provides advice on garnering support for a pilot project: by identifying supporters early on and keeping them engaged, while also responding to detractors. She then leads you through the process of choosing the pilot project, selecting the right team, and setting the vision, and provides a short overview of agile basics to you get started. Finally, learn how to perform a retrospective review of the pilot and identify the drivers to continue an agile rollout.",Course,2016-10-23 16:32 UTC,N/A,false,N/A,
Fusion 360: Design for Mechatronics,"Fusion 360 is a world-leading mechanical design software. But it also has an overlooked toolset for mechanical–electrical (mechatronic) design. This course teaches engineers and designers how to create simple mechatronic projects and documentation using Fusion 360. Instructor Justin Flett recaps the basics of the software, showing how to generate simple mechanical parts for a robot. He then reviews the advanced tools for plastics and casting design—Draft, Shell, and Rib—commonly used for mechatronics enclosures and casings. He shows how to incorporate components, plus motors and fasteners, into an assembly and how to route wires and cables. Finally, Justin explains how to generate final output, including exploded views and drawing, STEP, and PDF files for use in manufacturing.",Course,2021-08-04 21:18 UTC,N/A,false,N/A,
Sculpting a Game Asset in Blender,"Blender's sculpting tools are great for modeling, but they also can be used to create fine-detail textures for your 3D models, whether for animations or games. In this course, Darrin Lile demonstrates how to use Blender's Multiresolution modifier and sculpting tools to create texture maps that simulate high-poly sculpt information. He reviews the process of baking these textures out to normal and ambient occlusion texture maps, and then shows how to apply them to your 3D game assets in Unity.",Course,2019-12-24 23:19 UTC,N/A,false,N/A,
SketchUp Pro: Tools and Techniques,"SketchUp Pro may offer ""3D for everyone,"" but that doesn't mean it's light on professional tools. Learn how to create more compelling 3D graphics using the advanced features in SketchUp Pro. Author George Maestri introduces solid modeling with the Boolean operations and Trim and Split, adding and manipulating cameras, and creating terrains from contours and from scratch. Then he dives into the new Dynamic Components, SketchUp's most powerful feature, which can add motion and interactivity to a model. Last, he explores two companion apps (LayOut, for creating documents featuring SketchUp models, and Style Builder, for creating custom styles) and reviews the plugins available through the Extension Warehouse.",Course,2018-10-06 14:32 UTC,N/A,false,N/A,
ChatGPT Prompts for Small Businesses,"<p>This comprehensive course from creative expert Dave Birss is designed to empower small businesses and startups (as well as larger businesses) to enhance their competitiveness and achieve greater success. Delve into key topics essential for business growth as you learn to leverage AI prompts that augment thinking and encourage alternative approaches. Go over competitor analysis, identifying profitable niches, fostering innovation, effective scaling strategies, scenario planning, establishing brand purpose, and proactive risk planning. Gain valuable insights, practical skills, and actionable techniques to stay ahead in a dynamic business landscape. Whether you aspire to outperform competitors, identify untapped opportunities, drive innovation, or navigate uncertainties, this course equips you with the knowledge and tools necessary to elevate your business to new heights.</p>
 
<p>This course was created by Dave Birss. We are pleased to host this training in our library.</p>",Course,2025-06-29 13:26 UTC,N/A,false,N/A,
Outlook 2016: Tips and Tricks,"Get tips, tricks, and keyboard shortcuts that will increase your efficiency with Outlook 2016. Gini von Courter shares over 65 power shortcuts to save time, increase productivity, and help you stay organized—whether you're sending emails or managing your task list. Start with Gini's top 10 shortcuts, and power up from there. Learn techniques for quickly organizing your inbox, managing incoming messages, and replying to emails, and a few other cool tricks, like sending texts directly from Outlook. This course also helps you manage your appointments, share calendars, work with contacts, and stay on task with Outlook 2016.",Course,2016-10-23 16:34 UTC,N/A,false,N/A,
Excel Supply Chain Analysis: Solving Inventory Problems,"<p>Excel pro Curt Frye shows how to analyze inventory costs and develop effective inventory policies within a supply chain. He explains how to calculate total costs and total relevant costs for a product. He covers how to incorporate the effects of lead time into analysis and how to determine how much extra those minimum orders cost. Curt goes into how to evaluate quantity discounts and how to calculate production quantities to maximize profit. He discusses how back orders affect inventory policies and how to calculate the economic order quantity for inventory policies that allow back orders. He introduces you to difficulties associated with goods that have a limited lifespan, often called the newsvendor problem, then shows you how to generate the data and summaries required to solve a newsvendor problem. In conclusion, Curt walks you through how to calculate the base stock level for a target level of service and how to calculate a reorder point based on cycle service level performance. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/cscmp-supply-chain-foundations-inventory-management-professional-certificate"" target=""_blank"">Professional Certificate</a> from CSCMP.</p>",Course,2023-03-28 07:38 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:378450,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:378450,Course,2016-06-15 01:13 UTC,N/A,false,N/A,
